Ta_m,P_m,SWin_m,VPD_m,GPP
-0.512,1.6,53.792,0.761,-0.152785
-0.213,0.0,38.333,0.581,-0.272819
-0.425,0.0,82.854,0.755,-0.509925
-1.175,0.0,58.021,0.607,-0.503296
-0.365,0.0,99.146,1.518,0.0643858
-3.419,0.0,16.646,1.547,-0.195346
-1.283,0.2,29.958,1.302,-0.127031
2.19,0.0,52.875,1.5,-0.057065
3.429,6.6,14.458,1.104,-0.026408
1.419,0.2,103.479,2.424,-0.322352
4.062,0.0,103.271,4.855,0.0178773
6.277,0.0,87.208,3.937,0.099246
6.746,0.0,94.042,4.517,0.15157
9.846,0.8,90.813,6.224,0.346295
6.131,2.4,74.146,2.167,0.186838
9.202,5.0,21.25,1.848,-0.0249515
5.806,11.0,44.438,2.113,0.00354668
4.779,17.0,26.229,1.037,0.0179758
2.738,2.2,57.75,1.205,-0.344088
2.367,0.0,113.375,2.636,-0.103031
4.781,0.2,43.417,2.019,0.256569
6.223,9.0,28.542,1.737,0.226412
4.773,0.6,88.583,3.541,0.142012
7.71,0.0,111.854,3.514,0.206651
7.658,0.0,32.0,3.408,0.0644561
8.181,0.4,107.938,2.242,0.0714407
10.335,0.0,97.0,5.155,0.250802
10.573,1.6,46.125,3.585,0.227139
10.163,53.4,16.125,1.341,-0.15521
8.631,16.4,101.229,3.176,-0.153457
5.956,0.0,44.833,2.945,0.206318
8.679,0.0,131.979,6.501,0.116416
12.117,0.0,119.563,7.026,0.368098
12.138,0.0,135.313,6.737,0.258633
8.431,3.2,32.896,1.042,-0.117267
13.315,0.0,116.333,4.574,-0.0341852
9.381,4.4,35.563,2.784,0.386776
6.856,1.2,108.854,2.254,0.147328
6.573,0.0,150.438,2.622,-0.0666322
6.569,0.0,155.146,1.941,0.124488
9.352,0.0,166.563,2.702,0.218156
9.502,0.2,156.438,3.4,0.276912
10.258,0.0,164.167,5.475,0.587468
11.292,0.2,157.021,5.842,0.309891
7.904,0.0,83.396,1.964,0.307566
5.413,3.0,40.667,0.695,0.155093
8.112,1.2,56.313,1.239,0.0840318
9.617,0.0,62.938,1.657,0.223376
8.808,0.2,55.167,2.655,0.426892
8.66,0.0,158.521,5.084,0.167646
5.633,0.0,33.313,3.005,0.0879703
1.635,0.002,57.541,2.348,0.00568316
4.524,1.318,74.375,3.796,0.346995
3.402,0.0,194.229,4.866,0.171023
4.319,1.6,74.354,3.833,0.309382
6.352,4.0,52.042,1.689,0.444472
6.727,0.2,54.417,2.036,0.112623
8.933,0.0,172.729,4.345,0.46071
9.898,0.8,39.417,1.8,0.0574756
7.935,7.8,125.833,3.678,0.629058
4.254,0.8,141.313,2.596,0.431809
5.325,0.6,65.833,1.826,0.456484
7.644,0.2,219.271,4.424,0.808835
10.583,0.4,223.896,6.606,0.594362
11.4,0.0,208.0,6.606,1.32465
10.75,0.0,154.583,5.115,0.41945
5.333,0.4,166.25,3.592,0.839702
6.9,0.2,71.771,4.126,0.515081
7.348,0.2,221.438,4.138,0.692679
4.725,0.0,241.75,5.534,0.442717
6.81,0.0,244.479,7.387,0.749385
9.867,0.0,225.146,6.972,0.8375
11.565,0.0,235.104,7.796,0.779761
9.315,0.0,170.938,5.962,0.73665
3.117,0.0,125.292,3.912,0.440824
5.223,0.0,221.854,4.334,0.75615
7.506,0.0,204.688,5.094,0.624751
6.242,0.0,212.729,4.643,0.801951
4.031,0.0,238.833,5.209,0.498548
5.388,0.0,262.375,5.858,0.740728
7.946,0.2,258.797,6.204,0.850543
6.275,0.8,183.083,3.444,1.27425
4.592,0.6,206.271,3.554,0.873631
4.033,0.0,271.328,5.372,0.704271
4.692,0.0,233.583,5.525,1.08722
6.288,0.2,248.167,5.832,1.28449
9.469,0.0,265.146,8.262,1.29135
12.877,5.8,186.958,8.728,1.67936
11.279,8.6,101.042,2.28,1.33391
10.081,6.2,108.271,1.368,1.34119
11.371,0.2,91.521,2.352,1.37271
9.383,3.22,62.375,1.958,0.687664
10.16,1.4,121.313,3.158,1.32224
11.035,0.0,271.229,5.224,2.39758
14.275,0.0,287.146,8.925,2.5853
17.933,0.0,282.188,13.181,2.33075
18.346,0.0,224.375,8.684,3.57775
13.848,6.0,130.625,4.055,2.46477
9.023,21.6,56.625,1.345,1.57297
5.144,4.4,174.021,1.548,4.4063
6.517,3.2,204.729,3.896,4.97659
8.04,10.0,134.771,1.908,4.91849
12.117,0.2,203.125,5.622,7.31727
15.465,0.6,208.708,9.04,8.24644
11.744,0.2,116.229,2.921,5.78316
13.902,3.2,222.323,4.04,9.19238
16.148,0.0,234.063,5.087,10.2093
17.727,0.0,268.979,7.069,10.7443
18.287,0.2,170.208,4.563,8.9128
18.723,0.8,206.896,6.336,10.3328
14.492,8.0,87.458,1.584,7.8866
17.179,0.0,265.667,8.469,12.6579
13.838,17.4,183.0,2.776,9.00714
11.929,5.0,177.875,2.12,9.74298
11.554,1.2,120.563,1.819,8.2937
12.177,0.0,188.854,3.21,10.726
12.387,0.0,307.635,6.598,12.4365
12.34,0.0,325.682,7.159,10.2116
12.933,0.0,318.891,7.9,9.48771
12.727,0.0,286.583,6.158,10.0633
10.317,0.0,318.021,5.472,10.211
13.404,0.0,313.948,7.746,9.29364
13.927,0.0,328.479,8.02,8.81245
12.496,0.0,332.979,8.469,8.63347
11.677,0.0,249.344,7.14,8.78162
14.606,0.6,270.229,5.882,9.27272
14.108,4.2,139.188,1.674,6.18905
16.031,0.2,311.146,7.455,11.9423
17.99,0.0,230.313,8.29,12.5492
18.935,0.4,202.313,5.483,11.246
20.925,2.2,275.865,8.334,11.952
16.585,10.4,184.375,2.635,9.03709
17.727,0.2,282.589,6.239,10.9062
21.131,0.0,297.021,10.708,13.0214
20.4,8.8,171.063,6.728,12.1719
18.308,0.2,238.932,5.462,13.2521
17.24,30.2,187.333,3.172,11.3271
15.942,10.6,168.771,2.415,9.40766
15.075,0.0,226.771,5.376,10.6017
15.09,2.0,229.677,4.896,14.5942
14.585,21.2,176.354,2.076,12.1468
13.838,0.0,206.792,4.51,10.9548
14.698,0.2,267.021,5.845,13.9706
13.333,4.0,133.729,3.307,11.3141
13.146,24.4,60.396,1.424,6.30954
12.815,8.0,234.625,2.89,12.0403
12.483,7.4,148.813,1.921,8.76051
12.417,11.6,142.667,1.381,9.14953
13.192,1.2,157.958,3.48,12.455
13.446,3.2,123.917,2.274,10.6825
13.577,2.4,203.917,3.799,11.7742
16.258,0.0,268.745,6.905,13.6124
15.335,7.2,77.875,2.203,6.62691
13.338,2.2,137.083,2.813,9.93586
14.135,7.8,177.354,3.428,10.0398
15.571,1.0,115.521,4.04,10.003
13.656,0.8,114.792,2.076,10.2956
14.81,0.2,183.958,3.681,12.295
13.548,9.0,166.979,1.921,9.59877
14.215,0.6,143.917,2.938,8.301
15.263,0.0,200.813,4.165,10.6484
16.487,0.0,246.521,5.085,10.9125
18.152,0.0,307.115,7.094,11.148
18.948,0.0,312.766,8.394,10.6754
18.948,0.0,312.885,8.617,8.65863
19.969,0.0,278.958,8.038,9.78516
20.225,0.0,262.5,7.561,10.4662
18.179,4.0,163.875,4.015,10.2577
17.337,0.2,212.958,5.508,6.52136
17.906,0.0,287.729,6.652,9.2765
18.169,0.0,243.917,5.705,11.1818
14.179,14.4,94.25,1.077,6.9589
14.744,11.0,97.292,1.688,6.38471
15.375,0.0,276.792,5.119,10.3481
14.748,0.0,166.354,3.357,8.43306
17.731,0.2,285.104,6.077,12.2071
19.163,0.0,213.792,5.676,11.8556
19.258,8.8,246.729,5.823,11.9528
15.667,8.6,97.333,2.332,3.73069
17.31,0.4,239.146,5.535,11.8296
19.827,0.2,207.25,7.432,10.3071
17.725,0.0,281.333,6.185,11.0113
18.906,0.0,286.292,8.686,11.1767
19.867,0.0,276.646,10.029,11.724
15.219,5.0,114.458,3.874,7.7876
13.048,3.2,55.833,0.59,2.54155
15.535,2.8,60.5,0.963,4.60299
18.471,0.2,253.208,5.741,12.0705
21.263,0.0,232.896,7.041,11.0299
22.588,0.0,264.271,8.454,11.2109
21.185,0.0,204.042,5.161,10.3508
20.806,0.0,163.354,7.756,9.77258
20.496,0.0,205.313,6.076,7.23547
20.604,0.0,266.042,8.901,10.0496
21.631,0.0,269.875,11.114,11.4679
22.067,0.2,271.958,11.147,12.6579
21.144,0.0,252.542,8.689,14.7795
20.446,0.0,172.646,5.239,12.4443
21.521,0.0,208.146,5.999,15.5536
19.283,0.0,232.458,7.121,16.9451
19.537,0.0,231.188,7.868,18.0569
19.358,3.4,217.875,5.85,16.0535
19.129,17.0,233.021,5.916,14.0543
19.25,0.0,228.771,7.983,11.1981
20.488,0.2,235.604,8.93,12.0196
21.087,0.0,239.667,10.713,9.2547
